x_value,State.INFECTIOUS,State.RECOVERED,State.SUSCEPTIBLE
625,15,26,59
626,15,26,59
627,15,26,59
628,15,26,59
629,15,26,59
630,14,27,59
631,14,27,59
632,14,27,59
633,14,27,59
634,14,27,59
635,14,27,59
636,14,27,59
637,15,27,58
638,15,27,58
639,15,27,58
640,15,27,58
641,15,27,58
642,15,27,58
643,14,28,58
644,14,28,58
645,14,28,58
646,14,28,58
647,14,28,58
648,14,28,58
649,14,28,58
650,14,28,58
651,14,28,58
652,14,28,58
653,14,28,58
654,14,28,58
655,14,28,58
656,14,28,58
657,14,28,58
658,14,28,58
659,14,28,58
660,14,28,58
661,14,28,58
662,14,28,58
663,14,28,58
664,14,28,58
665,14,28,58
666,14,28,58
667,14,28,58
668,14,28,58
669,15,28,57
670,16,28,56
671,16,28,56
672,16,28,56
673,16,28,56
674,16,28,56
675,16,28,56
676,16,28,56
677,16,28,56
678,16,28,56
679,16,28,56
680,16,28,56
681,16,28,56
682,16,28,56
683,16,28,56
684,16,28,56
685,16,28,56
686,16,28,56
687,16,28,56
688,16,28,56
689,15,29,56
690,15,29,56
691,15,29,56
692,15,29,56
693,15,29,56
694,15,29,56
695,15,29,56
696,15,29,56
697,16,29,55
698,17,29,54
699,17,29,54
700,18,29,53
701,18,29,53
702,18,29,53
703,18,29,53
704,18,29,53
705,18,29,53
706,18,29,53
707,18,29,53
708,18,29,53
709,18,29,53
710,18,29,53
711,19,29,52
712,19,29,52
713,19,29,52
714,19,29,52
715,19,29,52
716,19,29,52
717,19,29,52
718,20,29,51
719,20,29,51
720,20,29,51
721,21,29,50
722,21,29,50
723,21,29,50
724,21,29,50
725,21,29,50
726,21,29,50
727,21,29,50
728,22,29,49
729,24,29,47
730,24,29,47
731,25,29,46
732,25,29,46
733,25,29,46
734,25,29,46
735,25,29,46
736,25,29,46
737,27,29,44
738,28,29,43
739,28,29,43
740,29,29,42
741,29,29,42
742,29,29,42
743,29,29,42
744,29,29,42
745,29,29,42
746,29,29,42
747,29,29,42
748,30,29,41
749,30,29,41
750,30,29,41
751,31,29,40
752,31,29,40
753,32,29,39
754,32,29,39
755,32,29,39
756,32,29,39
757,32,29,39
758,32,29,39
759,32,29,39
760,32,29,39
761,32,29,39
762,32,29,39
763,32,29,39
764,32,29,39
765,32,29,39
766,32,29,39
767,32,29,39
768,32,29,39
769,32,29,39
770,32,29,39
771,32,29,39
772,32,29,39
773,32,29,39
774,32,29,39
775,32,29,39
776,32,29,39
777,32,29,39
778,32,29,39
779,32,29,39
780,32,29,39
781,32,29,39
782,32,29,39
783,32,29,39
784,32,29,39
785,32,29,39
786,32,29,39
787,32,29,39
788,32,29,39
789,32,29,39
790,32,29,39
791,32,29,39
792,33,29,38
793,32,30,38
794,33,30,37
795,33,30,37
796,33,30,37
797,33,30,37
798,33,30,37
799,33,30,37
800,33,30,37
801,33,30,37
802,33,30,37
803,33,30,37
804,33,30,37
805,32,31,37
806,32,31,37
807,32,31,37
808,32,31,37
809,32,31,37
810,32,31,37
811,32,31,37
812,32,31,37
813,32,31,37
814,32,31,37
815,32,31,37
816,32,31,37
817,32,31,37
818,32,31,37
819,32,31,37
820,32,31,37
821,33,31,36
822,33,31,36
823,33,31,36
824,33,31,36
825,33,31,36
826,33,31,36
827,33,31,36
828,33,31,36
829,33,31,36
830,33,31,36
831,33,31,36
832,33,31,36
833,33,31,36
834,33,31,36
835,33,31,36
836,33,31,36
837,33,31,36
838,34,31,35
839,34,31,35
840,34,31,35
841,34,31,35
842,34,31,35
843,34,31,35
844,35,31,34
845,35,31,34
846,35,31,34
847,35,31,34
848,35,31,34
849,35,31,34
850,35,31,34
851,35,31,34
852,35,31,34
853,35,31,34
854,35,31,34
855,35,31,34
856,35,31,34
857,34,32,34
858,33,33,34
859,33,33,34
860,33,33,34
861,33,33,34
862,33,33,34
863,33,33,34
864,34,33,33
865,35,33,32
866,35,33,32
867,35,33,32
868,35,33,32
869,35,33,32
870,35,33,32
871,35,33,32
872,34,34,32
873,34,34,32
874,34,34,32
875,33,35,32
876,33,35,32
877,32,36,32
878,32,36,32
879,32,36,32
880,32,36,32
881,32,36,32
882,31,37,32
883,31,37,32
884,31,37,32
885,31,37,32
886,31,37,32
887,31,37,32
888,29,39,32
889,30,39,31
890,30,39,31
891,30,39,31
892,30,39,31
893,30,39,31
894,30,39,31
895,30,39,31
896,30,39,31
897,30,39,31
898,30,39,31
899,30,39,31
900,30,39,31
901,31,39,30
902,30,40,30
903,30,40,30
904,29,41,30
905,30,41,29
906,30,41,29
907,30,41,29
908,30,41,29
909,30,41,29
910,30,41,29
911,30,41,29
912,29,42,29
913,29,42,29
914,29,42,29
915,29,42,29
916,28,43,29
917,28,43,29
918,28,43,29
919,29,43,28
920,29,43,28
921,29,43,28
922,29,43,28
923,29,43,28
924,29,43,28
925,30,43,27
926,30,43,27
927,29,44,27
928,29,44,27
929,29,44,27
930,29,44,27
931,29,44,27
932,29,44,27
933,29,44,27
934,29,44,27
935,29,44,27
936,27,46,27
937,27,46,27
938,27,46,27
939,26,47,27
940,26,47,27
941,24,49,27
942,24,49,27
943,24,49,27
944,24,49,27
945,24,49,27
946,24,49,27
947,24,49,27
948,24,49,27
949,24,49,27
950,24,49,27
951,24,49,27
952,24,49,27
953,24,49,27
954,24,49,27
955,24,49,27
956,24,49,27
957,24,49,27
958,24,49,27
959,24,49,27
960,24,49,27
961,24,49,27
962,24,49,27
963,24,49,27
964,24,49,27
965,24,49,27
966,24,49,27
967,24,49,27
968,24,49,27
969,24,49,27
970,24,49,27
971,23,50,27
972,23,50,27
973,23,50,27
974,22,51,27
975,22,51,27
976,22,51,27
977,22,51,27
978,22,51,27
979,22,51,27
980,22,51,27
981,22,51,27
982,22,51,27
983,21,52,27
984,21,52,27
985,21,52,27
986,21,52,27
987,21,52,27
988,21,52,27
989,21,52,27
990,21,52,27
991,21,52,27
992,21,52,27
993,21,52,27
994,21,52,27
995,21,52,27
996,21,52,27
997,21,52,27
998,21,52,27
999,21,52,27
1000,22,52,26
1001,22,52,26
1002,22,52,26
1003,22,52,26
1004,22,52,26
1005,22,52,26
1006,22,52,26
1007,22,52,26
1008,21,53,26
1009,21,53,26
1010,21,53,26
1011,21,53,26
1012,21,53,26
1013,21,53,26
1014,20,54,26
1015,20,54,26
1016,20,54,26
1017,20,54,26
1018,20,54,26
1019,20,54,26
1020,20,54,26
1021,20,54,26
1022,20,54,26
1023,20,54,26
1024,20,54,26
1025,20,54,26
1026,20,54,26
1027,20,54,26
1028,20,54,26
1029,20,54,26
1030,20,54,26
1031,20,54,26
1032,20,54,26
1033,20,54,26
1034,20,54,26
1035,20,54,26
1036,20,54,26
1037,20,54,26
1038,20,54,26
1039,20,54,26
1040,20,54,26
1041,20,54,26
1042,20,54,26
1043,20,54,26
1044,20,54,26
1045,20,54,26
1046,20,54,26
1047,19,55,26
1048,19,55,26
1049,19,55,26
1050,19,55,26
1051,19,55,26
1052,19,55,26
1053,19,55,26
1054,18,56,26
1055,18,56,26
1056,18,56,26
1057,19,56,25
1058,19,56,25
1059,19,56,25
1060,19,56,25
1061,19,56,25
1062,19,56,25
1063,19,56,25
1064,19,56,25
1065,19,56,25
1066,19,56,25
1067,19,56,25
1068,19,56,25
1069,19,56,25
1070,19,56,25
1071,19,56,25
1072,19,56,25
1073,19,56,25
1074,19,56,25
1075,19,56,25
1076,19,56,25
1077,19,56,25
1078,19,56,25
1079,18,57,25
1080,18,57,25
1081,18,57,25
1082,18,57,25
1083,18,57,25
1084,18,57,25
1085,18,57,25
1086,18,57,25
1087,18,57,25
1088,18,57,25
1089,18,57,25
1090,18,57,25
1091,17,58,25
1092,17,58,25
1093,17,58,25
1094,17,58,25
1095,17,58,25
1096,17,58,25
1097,17,58,25
1098,17,58,25
1099,17,58,25
1100,15,60,25
1101,15,60,25
1102,15,60,25
1103,15,60,25
1104,15,60,25
1105,15,60,25
1106,15,60,25
1107,15,60,25
1108,16,60,24
1109,16,60,24
1110,16,60,24
1111,17,60,23
1112,17,60,23
1113,17,60,23
1114,17,60,23
1115,17,60,23
1116,17,60,23
1117,17,60,23
1118,17,60,23
1119,17,60,23
1120,17,60,23
1121,17,60,23
1122,17,60,23
1123,17,60,23
1124,17,60,23
1125,17,60,23
1126,17,60,23
1127,17,60,23
1128,17,60,23
1129,17,60,23
1130,17,60,23
1131,17,60,23
1132,17,60,23
1133,17,60,23
1134,18,60,22
1135,18,60,22
1136,18,60,22
1137,18,60,22
1138,18,60,22
1139,18,60,22
1140,18,60,22
1141,18,60,22
1142,18,60,22
1143,18,60,22
1144,18,60,22
1145,18,60,22
1146,18,60,22
1147,18,60,22
1148,18,60,22
1149,18,60,22
1150,18,60,22
1151,18,60,22
1152,18,60,22
1153,18,60,22
1154,18,60,22
1155,18,60,22
1156,18,60,22
1157,18,60,22
1158,17,61,22
1159,17,61,22
1160,17,61,22
1161,17,61,22
1162,17,61,22
1163,17,61,22
1164,17,61,22
1165,17,61,22
1166,17,61,22
1167,17,61,22
1168,17,61,22
1169,17,61,22
1170,17,61,22
1171,17,61,22
1172,17,61,22
1173,17,61,22
1174,17,61,22
1175,17,61,22
1176,17,61,22
1177,17,61,22
1178,17,61,22
1179,17,61,22
1180,17,61,22
1181,17,61,22
1182,17,61,22
1183,17,61,22
1184,17,61,22
1185,17,61,22
1186,17,61,22
1187,17,61,22
1188,17,61,22
1189,17,61,22
1190,17,61,22
1191,17,61,22
1192,17,61,22
1193,17,61,22
1194,17,61,22
